% Geoscience Australia GNSS Station mchl 
% FracYr Year DOY  VWC  
 2017.5394 2017 197    0.218 
 2017.5421 2017 198    0.189 
 2017.5448 2017 199    0.162 
 2017.5476 2017 200    0.156 
 2017.5503 2017 201    0.142 
 2017.5530 2017 202    0.133 
 2017.5558 2017 203    0.127 
 2017.5585 2017 204    0.118 
 2017.5613 2017 205    0.124 
 2017.5640 2017 206    0.123 
 2017.5667 2017 207    0.107 
 2017.5695 2017 208    0.117 
 2017.5722 2017 209    0.110 
 2017.5749 2017 210    0.114 
 2017.5777 2017 211    0.115 
 2017.5804 2017 212    0.106 
 2017.5832 2017 213    0.110 
 2017.5859 2017 214    0.102 
 2017.5886 2017 215    0.121 
 2017.5914 2017 216    0.127 
 2017.5941 2017 217    0.115 
 2017.5969 2017 218    0.124 
 2017.5996 2017 219    0.129 
 2017.6023 2017 220    0.095 
 2017.6051 2017 221    0.103 
 2017.6078 2017 222    0.106 
 2017.6105 2017 223    0.116 
 2017.6133 2017 224    0.104 
 2017.6160 2017 225    0.109 
 2017.6188 2017 226    0.100 
 2017.6215 2017 227    0.102 
 2017.6242 2017 228    0.103 
 2017.6270 2017 229    0.105 
 2017.6297 2017 230    0.100 
 2017.6324 2017 231    0.109 
 2017.6352 2017 232    0.100 
 2017.6379 2017 233    0.092 
 2017.6407 2017 234    0.092 
 2017.6434 2017 235    0.111 
 2017.6461 2017 236    0.091 
 2017.6489 2017 237    0.094 
 2017.6516 2017 238    0.102 
 2017.6543 2017 239    0.101 
 2017.6571 2017 240    0.090 
 2017.6598 2017 241    0.106 
 2017.6626 2017 242    0.096 
 2017.6653 2017 243    0.123 
 2017.6680 2017 244    0.102 
 2017.6708 2017 245    0.097 
 2017.6735 2017 246    0.077 
 2017.6762 2017 247    0.090 
 2017.6790 2017 248    0.081 
 2017.6817 2017 249    0.087 
 2017.6845 2017 250    0.094 
 2017.6872 2017 251    0.085 
 2017.6899 2017 252    0.088 
 2017.6927 2017 253    0.080 
 2017.6954 2017 254    0.096 
 2017.6982 2017 255    0.105 
 2017.7009 2017 256    0.110 
 2017.7036 2017 257    0.109 
 2017.7064 2017 258    0.095 
 2017.7091 2017 259    0.091 
 2017.7118 2017 260    0.095 
 2017.7146 2017 261    0.095 
 2017.7173 2017 262    0.104 
 2017.7201 2017 263    0.102 
 2017.7228 2017 264    0.102 
 2017.7255 2017 265    0.108 
 2017.7283 2017 266    0.113 
 2017.7310 2017 267    0.106 
 2017.7337 2017 268    0.100 
 2017.7365 2017 269    0.095 
 2017.7392 2017 270    0.101 
 2017.7420 2017 271    0.105 
 2017.7447 2017 272    0.093 
 2017.7474 2017 273    0.102 
 2017.7502 2017 274    0.209 
 2017.7529 2017 275    0.244 
 2017.7556 2017 276    0.207 
 2017.7584 2017 277    0.173 
 2017.7611 2017 278    0.188 
 2017.7639 2017 279    0.196 
 2017.7666 2017 280    0.198 
 2017.7693 2017 281    0.190 
 2017.7721 2017 282    0.154 
 2017.7748 2017 283    0.113 
 2017.7775 2017 284    0.121 
 2017.7803 2017 285    0.149 
 2017.7830 2017 286    0.120 
 2017.7858 2017 287    0.102 
 2017.7885 2017 288    0.180 
 2017.7912 2017 289    0.245 
 2017.7940 2017 290    0.282 
 2017.7967 2017 291    0.298 
 2017.7995 2017 292    0.266 
 2017.8022 2017 293    0.273 
 2017.8049 2017 294    0.319 
 2017.8077 2017 295    0.299 
 2017.8104 2017 296    0.256 
 2017.8131 2017 297    0.225 
 2017.8159 2017 298    0.185 
 2017.8186 2017 299    0.130 
 2017.8214 2017 300    0.126 
 2017.8241 2017 301    0.112 
 2017.8268 2017 302    0.117 
 2017.8296 2017 303    0.113 
 2017.8323 2017 304    0.126 
 2017.8350 2017 305    0.105 
 2017.8378 2017 306    0.113 
 2017.8405 2017 307    0.103 
 2017.8433 2017 308    0.103 
 2017.8460 2017 309    0.101 
 2017.8487 2017 310    0.214 
 2017.8515 2017 311    0.186 
 2017.8542 2017 312    0.149 
 2017.8569 2017 313    0.114 
 2017.8597 2017 314    0.104 
 2017.8624 2017 315    0.092 
 2017.8652 2017 316    0.079 
 2017.8679 2017 317    0.101 
 2017.8706 2017 318    0.099 
 2017.8734 2017 319    0.097 
 2017.8761 2017 320    0.098 
 2017.8789 2017 321    0.202 
 2017.8816 2017 322    0.248 
 2017.8843 2017 323    0.273 
 2017.8871 2017 324    0.220 
 2017.8898 2017 325    0.168 
 2017.8925 2017 326    0.138 
 2017.8953 2017 327    0.115 
 2017.8980 2017 328    0.108 
 2017.9008 2017 329    0.090 
 2017.9035 2017 330    0.093 
 2017.9062 2017 331    0.078 
 2017.9090 2017 332    0.092 
 2017.9117 2017 333    0.098 
 2017.9144 2017 334    0.076 
 2017.9172 2017 335    0.094 
 2017.9199 2017 336    0.186 
 2017.9227 2017 337    0.184 
 2017.9254 2017 338    0.144 
 2017.9281 2017 339    0.113 
 2017.9309 2017 340    0.082 
 2017.9336 2017 341    0.070 
 2017.9363 2017 342    0.066 
 2017.9391 2017 343    0.082 
 2017.9418 2017 344    0.080 
 2017.9446 2017 345    0.094 
 2017.9473 2017 346    0.082 
 2017.9500 2017 347    0.074 
 2017.9528 2017 348    0.088 
 2017.9555 2017 349    0.070 
 2017.9582 2017 350    0.083 
 2017.9610 2017 351    0.085 
 2017.9637 2017 352    0.080 
 2017.9665 2017 353    0.090 
 2017.9692 2017 354    0.078 
 2017.9719 2017 355    0.171 
 2017.9747 2017 356    0.144 
 2017.9774 2017 357    0.097 
 2017.9802 2017 358    0.082 
 2017.9829 2017 359    0.098 
 2017.9856 2017 360    0.131 
 2017.9884 2017 361    0.088 
 2017.9911 2017 362    0.066 
 2017.9938 2017 363    0.053 
 2017.9966 2017 364    0.098 
 2017.9993 2017 365    0.111 
